id	text	misogynous	aggressiveness	nps	clean
2131	-quindi, io dico, è giusto bei confronti di una donna tale gesto? Chi siete voi per dare della puttana, troia, zoccola, pompinara, mangiacazzi e così via a una donna? Mettiamola così, vostra madre per voi è una santa non lo metto in dubbio che siete i pri	0	0	-quindi, io dico, è giusto bei confronti di una donna tale gesto? Chi siete voi per dare della puttana, troia, zoccola, pompinara, mangiacazzi e così via a una donna? Mettiamola così, vostra madre per voi è una santa lo in dubbio che siete i pri	-quindi, io dico, è giusto bei confronti di una donna tale gesto? chi siete voi per dare della puttana, troia, zoccola, pompinara, mangiacazzi e così via a una donna? mettiamola così, vostra madre per voi è una santa non lo metto in dubbio che siete i pri
2132	Fatemi vederr giordano porca puttana #uominiedonne	0	0	Fatemi vederr giordano porca puttana #uominiedonne	fatemi vederr giordano porca puttana #uominiedonne
2133	ma porca puttana sono stata fino alle tre a fare dei compiti che poi non hanno chiesto	0	0	porca puttana dei compiti che poi non hanno chiesto	ma porca puttana sono stata fino alle tre a fare dei compiti che poi non hanno chiesto
2134	a rega, porca puttana, NON ANDATE DAVANTI AL SUO HOTEL, LASCIATELO IN PACE #harrystylesliveontourBologna	0	0	a rega, porca puttana, NON ANDATE DAVANTI AL SUO HOTEL, LASCIATELO IN PACE #harrystylesliveontourBologna	a rega, porca puttana, non andate davanti al suo hotel, lasciatelo in pace #harrystylesliveontourbologna
2135	@MilanEye porca puttana, Riposa in Pace.	0	0	@MilanEye porca puttana, Riposa in Pace.	porca puttana, riposa in pace.
2136	@camrynboyer non nominare i serpenti porca puttana mi tocca controllare le coperte ora	0	0	@camrynboyer i serpenti porca puttana mi	non nominare i serpenti porca puttana mi tocca controllare le coperte ora
2137	Raga non è possibile porca puttana	0	0	Raga porca puttana	raga non è possibile porca puttana
2138	@Rossonerosemper Però porca puttana una metà spesi veramente male, ma quando cavolo ci ricapita di avere tutti quei soldi da spendere, che rabbia ? Si doveva fare meglio!	0	0	@Rossonerosemper Però porca puttana una metà spesi veramente male, ma quando cavolo ci ricapita di avere tutti quei soldi da spendere, che rabbia ? Si	però porca puttana una metà spesi veramente male, ma quando cavolo ci ricapita di avere tutti quei soldi da spendere, che rabbia ? si doveva fare meglio!
2139	non è stato eliminato vero porca puttana vero https://t.co/6MwWRyPQZC	0	0	porca puttana vero https://t.co/6MwWRyPQZC	non è stato eliminato vero porca puttana vero
2140	@stanzaselvaggia ...non ricordo chi tu sia tanto da farmi pensare che da povera frustrata non avendo mai avuto un briciolo di talento ti piace insultare gli altri per gelosia.... Ti consiglio vivamente di trovarti un uomo che ti soddisfi magari saresti me	0	0	@stanzaselvaggia ... tu da povera frustrata un briciolo di talento ti gli altri per gelosia .... Ti un uomo che ti soddisfi magari me	...non ricordo chi tu sia tanto da farmi pensare che da povera frustrata non avendo mai avuto un briciolo di talento ti piace insultare gli altri per gelosia.... ti consiglio vivamente di trovarti un uomo che ti soddisfi magari saresti me
2141	#TaehyungArmysLovesYouALLORA CAZZONI DI MERDA POTETE TOCCARMI TUTTO MA I BANGTAN NO!  PERCHÉ ORA AVETE ROTTO IL CAZZO, MO VENGO LA VI FACCIO TALMENTE MALE CHE GLI OCCHI DAL CULO VR LI FACCIO USCIRE AVETE CAPITO PORCA PUTTANA!!???  VI FACCIO UN CULO QUANTO UNA CASA BASTARDI!!!!!	0	0	#TaehyungArmysLovesYouALLORA CAZZONI DI MERDA POTETE TOCCARMI TUTTO MA I BANGTAN NO!   PERCHÉ ORA AVETE ROTTO IL CAZZO, MO VENGO LA VI FACCIO TALMENTE MALE CHE GLI OCCHI DAL CULO VR LI FACCIO USCIRE AVETE CAPITO PORCA PUTTANA!!?? FACCIO UN CULO QUANTO UNA CASA BASTARDI!!	#taehyungarmyslovesyouallora cazzoni di merda potete toccarmi tutto ma i bangtan no! perché ora avete rotto il cazzo, mo vengo la vi faccio talmente male che gli occhi dal culo vr li faccio uscire avete capito porca puttana!!??? vi faccio un culo quanto una casa bastardi!!!!!
2142	ma che porcodio stai dicendo coglione!impara il senso delle parole deficiente di una testa di cazzo.solo perché non ti piace la Juventus non devi offendere me e nemmeno la mia famiglia, ma che cazzo hai nella testa? imbecille https://t.co/4O7H4gtqWo	0	0	porcodio coglione!impara il senso delle parole deficiente di una testa di cazzo.solo ti la Juventus me e nemmeno la mia famiglia che cazzo nella testa imbecille https://t.co/4O7H4gtqWo	ma che porcodio stai dicendo coglione!impara il senso delle parole deficiente di una testa di cazzo.solo perché non ti piace la juventus non devi offendere me e nemmeno la mia famiglia, ma che cazzo hai nella testa? imbecille
2143	Ma Giordano amore mio vieni qua che ti stupro io #uominiedonne	0	0	Giordano amore ti io #uominiedonne	ma giordano amore mio vieni qua che ti stupro io #uominiedonne
2144	Fake woke Twitter user: Giordano ti stupro ioX: Fa notare che è sbagliato a prescindere dire una cosa simileFake woke Twitter: Che pesantezza!! Si chiama ironia!!	0	0	Fake woke Twitter user: Giordano ti ioX una cosa simileFake woke Twitter Che pesantezza! Si ironia	fake woke twitter user: giordano ti stupro iox: fa notare che è sbagliato a prescindere dire una cosa similefake woke twitter: che pesantezza!! si chiama ironia!!
2145	Nainggolan manco in panchina perfino in tribuna, mai na gioia porca puttana	0	0	Nainggolan manco in panchina perfino in tribuna, mai na gioia porca puttana	nainggolan manco in panchina perfino in tribuna, mai na gioia porca puttana
2146	Bianca piange sempre e non si prende mai le sue responsabilità, ma porca puttana caccia le palle e dí come la pensi, non nasconderti dietro gli altri. #Isola	0	0	Bianca si le sue responsabilità , ma porca puttana le palle la dietro gli altri #Isola	bianca piange sempre e non si prende mai le sue responsabilità, ma porca puttana caccia le palle e dí come la pensi, non nasconderti dietro gli altri. #isola
2147	Ma porca puttana ho iniziato a lavorare da un mese ed è già la seconda volta che mi prendo il mal di gola ma io odio tutto	0	0	porca puttana da un mese ed è già la seconda volta che mi prendo il mal di gola ma io odio tutto	ma porca puttana ho iniziato a lavorare da un mese ed è già la seconda volta che mi prendo il mal di gola ma io odio tutto
2148	@GinoGnzp @thor180 @realvarriale @PierluigiBattis Che pena mi vete fatto ridicolizzati dal Real che ha fatto praticamente un allenamento. Avete avuto culo anche https://t.co/Uoz52pXuK7 risultato più giusto srebbe stato 6 a 0 pewr il Real. Quando manca l'i	0	0	@GinoGnzp @thor180 @realvarriale @PierluigiBattis Che pena mi dal Real che ha fatto praticamente un allenamento culo risultato più giusto il Real	che pena mi vete fatto ridicolizzati dal real che ha fatto praticamente un allenamento. avete avuto culo anche risultato più giusto srebbe stato 6 a 0 pewr il real. quando manca l'i
2149	oddio ma cosa cazzo ho letto sotto un post di sfera ebbasta di fandom segretii mio dio ma veramente porca troia avete la merda nel cervello che cazzo dite i gusti personali e il cazzo che vi pare ma non potete farlo passare per una persona con dei contenuti, insieme alle canzoni	0	0	cosa cazzo sotto un post di sfera ebbasta di fandom segretii mio dio ma veramente porca troia la merda nel cervello che cazzo i gusti personali e il cazzo che vi pare per una persona con dei contenuti insieme alle canzoni	oddio ma cosa cazzo ho letto sotto un post di sfera ebbasta di fandom segretii mio dio ma veramente porca troia avete la merda nel cervello che cazzo dite i gusti personali e il cazzo che vi pare ma non potete farlo passare per una persona con dei contenuti, insieme alle canzoni
2150	PORCA PUTTANA STO MALISSIMO https://t.co/MW6r54Pgh8	0	0	PORCA PUTTANA STO MALISSIMO https://t.co/MW6r54Pgh8	porca puttana sto malissimo
2151	Raga ma io sto una merda porca puttana ma come si fa a tornare a vivere?	0	0	Raga io una merda porca puttana si	raga ma io sto una merda porca puttana ma come si fa a tornare a vivere?
2152	#TaehyungArmyLovesYou Mi scuso per le parolacce che sto per scrivere.Porca puttana, la avete un cazzo di vita? Vi fa sccosa? Perfetto. Non commentate e non insultate. Se insultate lui, insultate noi. Noi non critichiamo quello che piace a voi e la cosa deve essere reciproca.	0	0	#TaehyungArmyLovesYou Mi per le parolacce che sto per scrivere Porca puttana, la un cazzo di vita Vi sccosa lui, noi Noi quello che piace a voi la cosa	#taehyungarmylovesyou mi scuso per le parolacce che sto per scrivere.porca puttana, la avete un cazzo di vita? vi fa sccosa? perfetto. non commentate e non insultate. se insultate lui, insultate noi. noi non critichiamo quello che piace a voi e la cosa deve essere reciproca.
2153	RT @armyrob7: #TaehyungArmyLovesYou Mi scuso per le parolacce che sto per scrivere.Porca puttana, la avete un cazzo di vita? Vi fa sccosa?…	0	0	RT @armyrob7: #TaehyungArmyLovesYou Mi per le parolacce che sto per scrivere Porca puttana, la un cazzo di vita Vi sccosa	rt #taehyungarmylovesyou mi scuso per le parolacce che sto per scrivere.porca puttana, la avete un cazzo di vita? vi fa sccosa?…
2154	ma sul serio gli avete augurato la morte? ma state bene? ed è anche vero che non mi dovrei incazzare perché ce n'è di gente con solo mezzo neurone bruciatoma gesù se lo vedesse comincerei a fare un casino assurdoporca puttana connettete bocca e cervello#TaehyungArmyLovesYou	0	0	sul serio gli la morte mi ce n' di gente con solo mezzo neurone bruciatoma gesù se lo un casino assurdoporca puttana bocca e cervello#TaehyungArmyLovesYou	ma sul serio gli avete augurato la morte? ma state bene? ed è anche vero che non mi dovrei incazzare perché ce n'è di gente con solo mezzo neurone bruciatoma gesù se lo vedesse comincerei a fare un casino assurdoporca puttana connettete bocca e cervello#taehyungarmylovesyou
2155	PORCA PUTTANA È DAVVERO JOLIN TSAI ANCHE IO VOGLIO INCONTRARE JOLIN TSAI https://t.co/gPe5FKMG1A	0	0	PORCA PUTTANA È DAVVERO JOLIN TSAI ANCHE IO VOGLIO INCONTRARE JOLIN TSAI https://t.co/gPe5FKMG1A	porca puttana è davvero jolin tsai anche io voglio incontrare jolin tsai
2156	Porca puttana dobbiamo sempre farci riconoscere eh https://t.co/o4uP7cxOZJ	0	0	Porca puttana https://t.co/o4uP7cxOZJ	porca puttana dobbiamo sempre farci riconoscere eh
2157	Mangiamoceli porca puttana #amala	0	0	Mangiamoceli porca puttana #amala	mangiamoceli porca puttana #amala
2158	Apro il telefonoTweet di halseyLeggo europeUrlo porca puttanaSfondo il lettoApro la fotoNon c'è l'Italia	0	0	Apro il telefonoTweet di halseyLeggo il lettoApro la fotoNon c' l'Italia	apro il telefonotweet di halseyleggo europeurlo porca puttanasfondo il lettoapro la fotonon c'è l'italia
2159	se halsey non viene in italia la droppo porca puttana	0	0	halsey in italia la droppo porca puttana	se halsey non viene in italia la droppo porca puttana
2160	HALSEY MANNAGGIA TROIA CHE CAZZO DI EUROPE È QUESTA MI SEMBRI ED SHEERAN DIO POVERO	0	0	HALSEY MANNAGGIA TROIA CHE CAZZO DI EUROPE È QUESTA MI SEMBRI ED SHEERAN DIO POVERO	halsey mannaggia troia che cazzo di europe è questa mi sembri ed sheeran dio povero
2161	Io mi fidavo di lui ciecamente. È questo che mi ha fregata. Porca puttana	0	0	Io mi di lui È questo che mi ha fregata. Porca puttana	io mi fidavo di lui ciecamente. è questo che mi ha fregata. porca puttana
2162	@tyIersoul NON DIRLO A ME PORCA PUTTANA CHE HO DOVUTO VENDERE IL BIGLIETTO DUE ANNI FA FIGAAAAA HO I SOLDI DI RENZI DA SPENDERE HALSEY CAZZO	0	0	@tyIersoul NON DIRLO A ME PORCA PUTTANA CHE HO DOVUTO IL BIGLIETTO DUE ANNI FA FIGAAAAA I SOLDI DI RENZI DA SPENDERE HALSEY CAZZO	non dirlo a me porca puttana che ho dovuto vendere il biglietto due anni fa figaaaaa ho i soldi di renzi da spendere halsey cazzo
2163	@stanzaselvaggia Si ma sta gente è psicopatica	0	0	Si gente	si ma sta gente è psicopatica
2164	Moo fratello e il suo amico mi hanno fatto sbagliare strada e porca puttana mi hanno fatto fare l'autostrada facendomi pagare 80 centesimi per nulla	0	0	Moo fratello e il suo amico mi strada e porca puttana mi l'autostrada 80 centesimi per nulla	moo fratello e il suo amico mi hanno fatto sbagliare strada e porca puttana mi hanno fatto fare l'autostrada facendomi pagare 80 centesimi per nulla
2165	Esistono delle basi, DELLE FOTTUTE BASI DALLE QUALI PARTIRE E DEI CONFINI DA NON SUPERARE. Ci sono dei protocolli da seguire, DEI LIMITI OLTRE I QUALI NON SI PUÒ ANDARE, PORCA PUTTANA MAIALA	0	0	delle basi, DELLE FOTTUTE BASI DALLE QUALI PARTIRE E DEI CONFINI DA NON SUPERARE Ci dei protocolli da seguire , DEI LIMITI OLTRE I QUALI NON SI PUÒ ANDARE, PORCA PUTTANA MAIALA	esistono delle basi, delle fottute basi dalle quali partire e dei confini da non superare. ci sono dei protocolli da seguire, dei limiti oltre i quali non si può andare, porca puttana maiala
2166	e la pillola anticoncezionale no, e la pillola del giorno dopo no, e l’aborto no. raga mi sembra di vivere nel medioevo porca puttana	0	0	e la pillola anticoncezionale no, e la pillola del giorno dopo no, e l’aborto no. mi nel medioevo porca puttana	e la pillola anticoncezionale no, e la pillola del giorno dopo no, e l’aborto no. raga mi sembra di vivere nel medioevo porca puttana
2167	@GiancarloDeRisi Ma che cazzo aspettate ad andarci senza voltaggi indietro, merde schifose???	0	0	che cazzo senza voltaggi indietro merde schifose	ma che cazzo aspettate ad andarci senza voltaggi indietro, merde schifose???
2168	Un cazzo di link che non si blocca non esista porca puttana handanovic di merda	0	0	Un cazzo di link che non si blocca porca puttana handanovic di merda	un cazzo di link che non si blocca non esista porca puttana handanovic di merda
2169	Porca puttana un contropiede non lo facciamo più bene	0	0	Porca puttana un contropiede lo	porca puttana un contropiede non lo facciamo più bene
2170	Porca puttana sto bidone di montolivo	0	0	Porca puttana bidone di montolivo	porca puttana sto bidone di montolivo
2171	Porca puttana#MilanInter	0	0	Porca puttana#MilanInter	porca puttana#milaninter
2172	Mi sono svegliata ora porca puttana ho dormito tutto il pomeriggio	0	0	Mi porca puttana tutto il pomeriggio	mi sono svegliata ora porca puttana ho dormito tutto il pomeriggio
2173	PORCA PUTTANA ORA SE NON VI SVEGLIATE	0	0	PUTTANA ORA SE VI SVEGLIATE	porca puttana ora se non vi svegliate
2174	Datevi una svegliata porca puttana! Non bisogna avere timore di ste 11 merde cazzo #MilanInter	0	0	puttana timore di ste 11 merde cazzo #MilanInter	datevi una svegliata porca puttana! non bisogna avere timore di ste 11 merde cazzo #milaninter
2175	Gol annullato all' #inter. Porca puttana, ora i milanisti godono ma dobbiamo fare gol adesso #ForzaInter #DerbyMilano	0	0	Gol annullato all' #inter. Porca puttana, i milanisti gol #ForzaInter #DerbyMilano	gol annullato all' #inter. porca puttana, ora i milanisti godono ma dobbiamo fare gol adesso #forzainter #derbymilano
2176	Sto perdendo anni di vita, porca puttana  #MilanInter	0	0	Sto perdendo anni di vita, porca puttana  #MilanInter	sto perdendo anni di vita, porca puttana #milaninter
2177	PORCA PUTTANA TROIA #HarryStylesLiveOnTourBologna https://t.co/M8VzvsJQWv	0	0	TROIA # HarryStylesLiveOnTourBologna https://t.co/M8VzvsJQWv	porca puttana troia #harrystylesliveontourbologna
2178	Anche in Coppa Italia è andata così. Porca puttana ladra sti sculati di merda	0	0	Anche in Coppa Italia Porca puttana ladra sti sculati di merda	anche in coppa italia è andata così. porca puttana ladra sti sculati di merda
2179	PORCA PUTTANA LADRA SCHIFOSA IERI HARRY STYLES ERA NELLA MIA CITTÀ E IO NON SAPEVO NULLAHARRY STYLES ERA A MODENA E IO LO AVREI POTUTO INCONTRARE, ODIO TUTTI CHE VITA DI MERDA	0	0	LADRA SCHIFOSA IERI HARRY STYLES ERA NELLA MIA CITTÀ NULLAHARRY STYLES ERA A MODENA E IO LO AVREI POTUTO INCONTRARE, ODIO TUTTI CHE VITA DI MERDA	porca puttana ladra schifosa ieri harry styles era nella mia città e io non sapevo nullaharry styles era a modena e io lo avrei potuto incontrare, odio tutti che vita di merda
2180	Una stringa in fuorigioco Porca puttana ?	0	0	Una stringa in fuorigioco Porca puttana ?	una stringa in fuorigioco porca puttana ?
2181	@alessioiacovell @crocket197 @FBiasin Aziendalisti? MA CHE CAZZHAHAHAHAHAHAHAHAHAHAHAHAHAHAPorca puttana ????? Nel 2018 ancora queste merdate? Ma tifa Juventus e non rompere il cazzo con queste stronzate. ????	0	0	@alessioiacovell @crocket197 @FBiasin Aziendalisti? MA CHE CAZZHAHAHAHAHAHAHAHAHAHAHAHAHAHAPorca puttana ???? Nel 2018 ancora queste merdate? Juventus il cazzo con queste stronzate	aziendalisti? ma che cazzhahahahahahahahahahahahahahaporca puttana ????? nel 2018 ancora queste merdate? ma tifa juventus e non rompere il cazzo con queste stronzate. ????
2182	@Napolicapiscer Ha cancellato il link porca puttana	0	0	@Napolicapiscer il link porca puttana	ha cancellato il link porca puttana
2183	Porca puttana ci manca uno forte li davanti...	0	0	Porca puttana ci li	porca puttana ci manca uno forte li davanti...
2184	PORCA PUTTANA COSA AVEVA FATTO CUTRONE	0	0	PORCA PUTTANA COSA AVEVA FATTO CUTRONE	porca puttana cosa aveva fatto cutrone
2185	-Eli, che cazzo ci fai a casa a quest’ora? Non dovevi staccare alle 21?-Porca puttana Valenti, sta giocando il Milan, è già troppo tardi.#MilanInter	0	0	che cazzo ci a casa a quest’ora alle 21?-Porca puttana Valenti il Milan	-eli, che cazzo ci fai a casa a quest’ora? non dovevi staccare alle 21?-porca puttana valenti, sta giocando il milan, è già troppo tardi.#milaninter
2186	@Delirio897J @angsem79 Porca puttana	0	0	@angsem79 Porca puttana	porca puttana
2187	Kalinic e Silva invece che uno solo porca puttana..	0	0	Kalinic e Silva invece che uno solo porca puttana..	kalinic e silva invece che uno solo porca puttana..
2188	HANNO RIPRESO GIÀ PALLA PORCA PUTTANA	0	0	HANNO RIPRESO GIÀ PALLA PORCA PUTTANA	hanno ripreso già palla porca puttana
2189	Questi hanno un culo rotto assurdo. Scarsi e culoni, porca puttana.	0	0	Questi un culo rotto assurdo e culoni, porca puttana	questi hanno un culo rotto assurdo. scarsi e culoni, porca puttana.
2190	PORCA PUTTANA CAPITANO STI ERRORI!!! ??‍♀️ #MilanInter	0	0	PUTTANA CAPITANO STI ERRORI ‍♀️ #MilanInter	porca puttana capitano sti errori!!! ??‍♀️ #milaninter
2191	Ma porca puttana maledetta schifosa ma come cazzo hai fatto a sbagliarla da un metro?	0	0	porca puttana maledetta schifosa come cazzo da un metro	ma porca puttana maledetta schifosa ma come cazzo hai fatto a sbagliarla da un metro?
2192	@il_Malpensante Porca puttana hanno più culo che anima	0	0	Porca puttana più culo che anima	porca puttana hanno più culo che anima
2193	PORCA PUTTANA CHE CAZZO METTE KALINIC CHE NON SERVE AD UN EMERITO CAZZO, QUANDO ENTRA SEMBRA DI FIOCAFE IN 10 E QUELLE VOLTE CHE FA QUALCOSA SBAGLIA PUREEEEE AAAAAAAAAAA	0	0	PORCA PUTTANA CHE CAZZO METTE KALINIC CHE NON SERVE AD UN EMERITO CAZZO, QUANDO ENTRA SEMBRA DI FIOCAFE IN 10 E QUELLE VOLTE CHE FA QUALCOSA SBAGLIA PUREEEEE AAAAAAAAAAA	porca puttana che cazzo mette kalinic che non serve ad un emerito cazzo, quando entra sembra di fiocafe in 10 e quelle volte che fa qualcosa sbaglia pureeeee aaaaaaaaaaa
2194	Mauro porca puttana nei hai sbagliati due, non me lo merito	0	0	Mauro porca puttana nei hai sbagliati due, non me lo merito	mauro porca puttana nei hai sbagliati due, non me lo merito
2195	schifosi rotti in culo.. mai vista una squadra così culona come il Milan oggi mai	0	0	schifosi in culo una squadra così culona come il Milan	schifosi rotti in culo.. mai vista una squadra così culona come il milan oggi mai
2196	@MirkoDas Infatti... mi prendo il punto, ma porca puttana ladra	0	0	mi il punto , ma porca puttana ladra	infatti... mi prendo il punto, ma porca puttana ladra
2197	Porca puttana ladra vacca maiala impestata	0	0	Porca puttana ladra vacca maiala impestata	porca puttana ladra vacca maiala impestata
2198	Affidarsi solo ai gol di Icardi comporta questo. Servono due cazzo di attaccanti dai tempi di Jovetic e Ljajc. Porca puttana!	0	0	solo ai gol di Icardi questo due cazzo di attaccanti dai tempi di Jovetic e Ljajc Porca puttana!	affidarsi solo ai gol di icardi comporta questo. servono due cazzo di attaccanti dai tempi di jovetic e ljajc. porca puttana!
2199	Non ci posso credere davvero...Porca troia che sfiga https://t.co/o21G3SLejj	0	0	ci Porca troia che sfiga https://t.co/o21G3SLejj	non ci posso credere davvero...porca troia che sfiga
2200	Mauro ti voglio bene lo stesso ma PORCA TROIA CHE CAZZO HAI FATTO? #MilanInter	0	0	Mauro ti lo stesso ma PORCA TROIA CHE CAZZO HAI FATTO? #MilanInter	mauro ti voglio bene lo stesso ma porca troia che cazzo hai fatto? #milaninter
2201	Non avere una sola punta  degna di tale nome pensa, porca puttana se pesa	0	0	una sola punta  degna di tale nome porca puttana se pesa	non avere una sola punta degna di tale nome pensa, porca puttana se pesa
2202	Adesso continuo a stare con l’ansia addosso porca puttana sono stanca	0	0	con l’ansia addosso porca puttana	adesso continuo a stare con l’ansia addosso porca puttana sono stanca
2203	raga porca puttana che casino che è successo, che porca merda	0	0	puttana che casino che è successo che porca merda	raga porca puttana che casino che è successo, che porca merda
2204	giuro non so che mi succede sento la gente parlare e vorrei far stare tutti zitti è una cosa generale non sopporto le voci porca puttana sta andando avanti da giorni 'sta cosa	0	0	mi la gente tutti zitti è una cosa generale le voci porca puttana da giorni cosa	giuro non so che mi succede sento la gente parlare e vorrei far stare tutti zitti è una cosa generale non sopporto le voci porca puttana sta andando avanti da giorni 'sta cosa
2205	@acmilan Porca puttana avete più culo voi che la Kardashian!!! ⚫️????	0	0	@acmilan Porca puttana più culo voi che la Kardashian ⚫️????	porca puttana avete più culo voi che la kardashian!!! ⚫️????
2206	Assurdo, fino a trenta secondi dalla fine ero sereno, contento del fatto che comunque avevamo giocato una buona partita e che la tanto temuta fregatura nel recupero fosse ormai impossibile.E poi porca puttanaccia schifosa...	0	0	fino a trenta secondi dalla fine del fatto che comunque avevamo giocato una buona partita e che la tanto temuta fregatura nel recupero fosse ormai impossibile E poi porca puttanaccia schifosa...	assurdo, fino a trenta secondi dalla fine ero sereno, contento del fatto che comunque avevamo giocato una buona partita e che la tanto temuta fregatura nel recupero fosse ormai impossibile.e poi porca puttanaccia schifosa...
2207	Ho aspettato 80minuti I due gol del Milan che avevo sentito in radio. Nn so cosa cazzo avessi sentito ma porca puttana maiali quanto girano I coglioni	0	0	I due gol del Milan che avevo sentito in radio Nn cosa cazzo ma porca puttana maiali I coglioni	ho aspettato 80minuti i due gol del milan che avevo sentito in radio. nn so cosa cazzo avessi sentito ma porca puttana maiali quanto girano i coglioni
2208	Piccinini che sfigato,il pistolero,il matador missile terra aria,figa ma come cazzo è messo#BarcellonaRoma	0	0	Piccinini che sfigato,il pistolero,il matador missile terra aria,figa ma come cazzo è messo#BarcellonaRoma	piccinini che sfigato,il pistolero,il matador missile terra aria,figa ma come cazzo è messo#barcellonaroma
2209	Ma porca puttana, quello era rigore#BarcaRoma	0	0	Ma porca puttana, quello era rigore#BarcaRoma	ma porca puttana, quello era rigore#barcaroma
2210	Ma vogliamo parlare di quanto sia di cattivo gusto il “contatore dei femminicidi” al TG 2?Il contatore? Ma che cazzo è porca puttana	0	0	di quanto sia di cattivo gusto il “contatore dei femminicidi” al TG 2?Il contatore Ma che cazzo è porca puttana	ma vogliamo parlare di quanto sia di cattivo gusto il “contatore dei femminicidi” al tg 2?il contatore? ma che cazzo è porca puttana
2211	"Passo sul 20. Questi schifosi di Premium non la trasmettono la Roma"". Cerco streaming. Si bloccano. Passo su Telelombardia per 10 minuti, pubblicità. Zapping canale 5. E porca puttana, la fanno qui!"""	0	0	Passo sul 20. Questi schifosi di Premium la la Roma Cerco streaming. Si Passo su Telelombardia per 10 minuti, pubblicità. Zapping canale 5. E porca puttana, la	"passo sul 20. questi schifosi di premium non la trasmettono la roma"". cerco streaming. si bloccano. passo su telelombardia per 10 minuti, pubblicità. zapping canale 5. e porca puttana, la fanno qui!"""
2212	Era vinta sta partita porca puttana..li abbiamo massacrati sti gonzi di merda. Che rabbia.	0	0	puttana li gonzi di merda Che rabbia.	era vinta sta partita porca puttana..li abbiamo massacrati sti gonzi di merda. che rabbia.
2213	oi raga figa mi sono rotta la minchia di essere sempre la cazzo di sfigata di merda della situazione. indovinate chi domani non vedrà succede? IO PORCA PUTTANA SI PROPRIO IO VAFFANCULO mi butto ora o aspetto?	0	0	raga figa mi la minchia di essere sempre la cazzo di sfigata di merda della situazione chi domani non vedrà succede PORCA PUTTANA SI PROPRIO IO VAFFANCULO mi o aspetto	oi raga figa mi sono rotta la minchia di essere sempre la cazzo di sfigata di merda della situazione. indovinate chi domani non vedrà succede? io porca puttana si proprio io vaffanculo mi butto ora o aspetto?
2214	FILIPPO PORCA PUTTANA DUE ACE PROPRIO OGGI NO	0	0	PORCA PUTTANA DUE ACE PROPRIO OGGI	filippo porca puttana due ace proprio oggi no
2215	è dannatamente bello porca puttana #harrystylesliveontourbologna	0	0	puttana #harrystylesliveontourbologna	è dannatamente bello porca puttana #harrystylesliveontourbologna
2216	raga lavoro da due (2) giorni e sono già indietro con le serie tv porca puttana che schifo il lavoro	0	0	raga lavoro da due (2) giorni e sono già indietro con le serie tv porca puttana che schifo il lavoro	raga lavoro da due (2) giorni e sono già indietro con le serie tv porca puttana che schifo il lavoro
2217	c'hai ragione alessà, se vive na vorta sola, e porca puttana tra tutti noi eri forse l'unico che nse meritava de lascià sto mondo così presto, te che c'avevi ottomila piani pe il futuro, te che nte ncazzavi mai co nessuno	0	0	c' ragione alessà na vorta sola, e porca puttana tra tutti noi che nse de lascià mondo te che c'avevi ottomila piani pe il futuro, te che nte ncazzavi mai co nessuno	c'hai ragione alessà, se vive na vorta sola, e porca puttana tra tutti noi eri forse l'unico che nse meritava de lascià sto mondo così presto, te che c'avevi ottomila piani pe il futuro, te che nte ncazzavi mai co nessuno
2218	col cazzo che gli scrivo ahaha ceh va bene ho fatto la stronza ma lui ancora di più stronzo troione da combattimento daddy baldracco puttanone zoccolo da corsa @n0thingsspecial	0	0	col cazzo che gli scrivo ahaha ceh la stronza ma lui ancora di più stronzo troione da combattimento daddy baldracco puttanone zoccolo da corsa	col cazzo che gli scrivo ahaha ceh va bene ho fatto la stronza ma lui ancora di più stronzo troione da combattimento daddy baldracco puttanone zoccolo da corsa
2219	Gli dite a De rossi gioca con la Roma no col Barcellona porca puttana !!!!!!!!	0	0	Gli a De rossi con la Roma col Barcellona porca puttana	gli dite a de rossi gioca con la roma no col barcellona porca puttana !!!!!!!!
2220	@AlbertoD1998 Stessa cosa di ieri, porca troia anche voi che cazzo vuol dire farla a quell’ora ahahahahah	0	0	@AlbertoD1998 Stessa cosa di ieri, porca troia anche voi che cazzo vuol dire farla a quell’ora ahahahahah	stessa cosa di ieri, porca troia anche voi che cazzo vuol dire farla a quell’ora ahahahahah
2221	"Rossa tu nn ci azzacchi nulla"" ti sei ritrovata in mezzoCome alcuni de loro  Ah ""inculo alla balena""(So che leggete )"""	0	0	"Rossa tu nn ci azzacchi nulla"" ti sei ritrovata in mezzoCome alcuni de loro  Ah ""inculo alla balena""(So che leggete )"""	"rossa tu nn ci azzacchi nulla"" ti sei ritrovata in mezzocome alcuni de loro ah ""inculo alla balena""(so che leggete )"""
2222	E voi @OfficialASRoma porca puttana dovete protestare cazzo! Quando succedono ste cose si va in 10 intorno a quella merda con l giacchetta gialla	0	0	voi @OfficialASRoma porca puttana cazzo cose si intorno a quella merda con l giacchetta gialla	e voi porca puttana dovete protestare cazzo! quando succedono ste cose si va in 10 intorno a quella merda con l giacchetta gialla
2223	@filippothecap Ma come cazzo fai a non applaudire un gol del genere.... è normale! È spontaneo.....porca puttana	0	0	come cazzo un gol del genere .....porca puttana	ma come cazzo fai a non applaudire un gol del genere.... è normale! è spontaneo.....porca puttana
2224	E allora non sorridere, porca puttana.	0	0	E allora non sorridere, porca puttana.	e allora non sorridere, porca puttana.
